 Projeção da População do Brasil por sexo e idade simples: 2000-2060
População residente por Ano e Sexo
Período:2000-2060
"Ano";"Masculino";"Feminino";"Total"
"2000";86169657;87278689;173448346
"2001";87336165;88549064;175885229
"2002";88480530;89795598;178276128
"2003";89601782;91017326;180619108
"2004";90698483;92213004;182911487
"2005";91769282;93381524;185150806
"2006";92813167;94521970;187335137
"2007";93829262;95633493;189462755
"2008";94816963;96715476;191532439
"2009";95776055;97767914;193543969
"2010";96706703;98791094;195497797
"2011";97610297;99786721;197397018
"2012";98487258;100755204;199242462
"2013";99336858;101695856;201032714
"2014";100159507;102609055;202768562
"2015";100955522;103495127;204450649
"2016";101726102;104355330;206081432
"2017";102471274;105189655;207660929
"2018";103189829;105996973;209186802
"2019";103881681;106777332;210659013
"2020";104546709;107530666;212077375
"2021";105183853;108256605;213440458
"2022";105792687;108954822;214747509
"2023";106373562;109625162;215998724
"2024";106926006;110267087;217193093
"2025";107449726;110880288;218330014
"2026";107944653;111463899;219408552
"2027";108410458;112017572;220428030
"2028";108846637;112541548;221388185
"2029";109252781;113035388;222288169
"2030";109628293;113498624;223126917
"2031";109973545;113930763;223904308
"2032";110291279;114335350;224626629
"2033";110580270;114711070;225291340
"2034";110839481;115056688;225896169
"2035";111067779;115371137;226438916
"2036";111264145;115653121;226917266
"2037";111427670;115901468;227329138
"2038";111557573;116115430;227673003
"2039";111653523;116294434;227947957
"2040";111715186;116438018;228153204
"2041";111742097;116545584;228287681
"2042";111734134;116616790;228350924
"2043";111691455;116651769;228343224
"2044";111614261;116650559;228264820
"2045";111502896;116613383;228116279
"2046";111357593;116540572;227898165
"2047";111178810;116432314;227611124
"2048";110967211;116289048;227256259
"2049";110723325;116111362;226834687
"2050";110447804;115899884;226347688
"2051";110141324;115655184;225796508
"2052";109804395;115377838;225182233
"2053";109437771;115068541;224506312
"2054";109042173;114728062;223770235
"2055";108618267;114357265;222975532
"2056";108166899;113956892;222123791
"2057";107688801;113527613;221216414
"2058";107184648;113070164;220254812
"2059";106655130;112585110;219240240
"2060";106100861;112073027;218173888
 Fonte:
 
 IBGE/Diretoria de Pesquisas. Coordenação de População e Indicadores Sociais. Gerência de Estudos e Análises da Dinâmica Demográfica.
 Projeção da população do Brasil por sexo e idade para o período 2000-2060
 
