 Projeção da População do Brasil por sexo e idade simples: 2000-2060
População residente por Ano e Faixa Etária 1
Período:2000-2060
"Ano";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 a 84 anos";"85 a 89 anos";"90 anos e mais";"Total"
"2000";17314510;17273758;17518796;18097555;16346745;14468665;13436025;12497963;10779160;8928759;7105097;5445582;4513522;3493661;2696950;1759132;994067;493932;284467;173448346
"2001";17333637;17252925;17402474;18119828;16738956;14751901;13572135;12699486;11103110;9245644;7404596;5652053;4611832;3589547;2756503;1832671;1031252;496283;290396;175885229
"2002";17309347;17241043;17329890;18006076;17146912;15074831;13712393;12860762;11430728;9561223;7704810;5900595;4697462;3706117;2805444;1912831;1072847;507823;294994;178276128
"2003";17240518;17236778;17291927;17806344;17525805;15429819;13870533;12994475;11748126;9876810;8006479;6179657;4787311;3833079;2853004;1993863;1119013;525567;300000;180619108
"2004";17126610;17237068;17266480;17602425;17809769;15805016;14065051;13120828;12034508;10195079;8312316;6470614;4906585;3954731;2912039;2068284;1170440;547520;306124;182911487
"2005";16975813;17230352;17240164;17447357;17960346;16188242;14306505;13254354;12278037;10516466;8623561;6761728;5069578;4063480;2989210;2133020;1226862;572304;313427;185150806
"2006";16748883;17254039;17220180;17332309;17983683;16579582;14590689;13393467;12482076;10839702;8937019;7054866;5271797;4162692;3082622;2190158;1287905;600073;323395;187335137
"2007";16518269;17234647;17209088;17260627;17871791;16986197;14913958;13536501;12646465;11166621;9249416;7349075;5513487;4250785;3194031;2239350;1354364;630986;337097;189462755
"2008";16284481;17170904;17205581;17223245;17674357;17363699;15268717;13697042;12783678;11483586;9561999;7644993;5783963;4343115;3314471;2287859;1421793;665093;353863;191532439
"2009";16049820;17062172;17206586;17198226;17472598;17646823;15643256;13893386;12913450;11770215;9877343;7945147;6065924;4462513;3430343;2345842;1484515;702752;373058;193543969
